1		1
2		1
3		2
4		3
5		1
6		2
7		2
8		2
9		2
10		2
11		4
12		4
13		4
14		2
15		2
16		2
17		5
18		3
19		2
20		2
21		5
22		1
23		1
24		5
25		1
26		2
27		2
28		2
29		5
30		2
31		2
32		2
33		2
34		2
35		2
36		2
37		2
38		2
39		2
40		2
41		2
42		6
43		2
44		6
45		6
46		2
47		2
48		2
49		1
50		7
51		2
52		2
53		2
54		2
55		2
56		2
57		2
58		2
59		3
60		5
61		2
62		2
63		2
64		2
65		2
66		2
67		2
68		6
69		1
70		2
71		2
72		8
73		3
74		2
75		2
76		5
77		7
78		7
79		8
80		6
81		2
82		2
83		8
84		8
85		8
86		8
87		7
88		7
89		7
90		1
91		8
92		8
93		8
94		8
95		5
96		5
97		8
98		5
99		5
100		5
101		2
102		2
103		2
104		2
105		2
106		8
107		6
108		3
109		5
110		2
111		5
112		3
113		3
114		5
115		3
116		3
117		5
118		5
119		7
120		7
121		2
122		6
123		7
124		7
125		7
126		8
127		2
128		7
129		7
130		5
131		2
132		7
133		5
134		8
135		6
136		6
137		5
138		5
139		5
140		2
141		2
142		7
143		7
144		7
145		7
146		2
147		2
148		2
149		4
150		5
151		1
152		8
153		1
154		5
155		1
156		1
157		1
158		7
159		7
160		2
161		5
162		5
163		1
164		1
165		1
166		3
167		3
168		1
169		1
170		1
171		8
172		1
173		5
174		5
175		6
176		1
177		5
178		1
179		1
180		2
181		5
182		5
183		7
184		5
185		1
186		1
187		1
188		8
189		1
190		7
191		5
192		5
193		1
194		6
195		8
196		7
197		7
198		7
199		8
200		6
201		1
202		1
203		1
204		7
205		7
206		7
207		7
208		7
209		7
210		7
211		7
212		7
213		7
214		7
215		7
216		7
217		5
218		1
219		1
220		1
221		5
222		7
223		1
224		1
225		5
226		6
227		3
228		6
229		3
230		3
231		6
232		6
233		3
234		3
235		3
236		3
237		3
238		6
239		6
240		6
241		6
242		6
243		3
244		6
245		5
246		6
247		6
248		2
249		6
250		7
251		7
252		7
253		6
254		6
255		6
256		6
257		7
258		7
259		6
260		6
261		6
262		3
263		1
264		2
265		6
266		6
267		6
268		6
269		1
270		3
271		6
272		6
273		3
274		3
275		3
276		7
277		8
278		8
279		1
280		8
281		7
282		7
283		7
284		6
285		7
286		7
287		7
288		6
289		7
290		6
291		6
292		7
293		8
294		7
295		8
296		1
297		6
298		6
299		6
300		6
301		8
302		3
303		2
304		6
305		2
306		6
307		7
308		5
309		6
310		2
311		3
312		6
313		3
314		6
315		2
316		3
317		2
318		3
319		3
320		7
321		7
322		7
323		6
324		5
325		5
326		6
327		2
328		6
329		6
330		3
331		3
332		6
333		6
334		3
335		3
336		3
337		6
338		3
339		5
340		6
341		3
342		6
343		2
344		6
345		3
346		3
347		3
348		3
349		6
350		6
351		6
352		6
353		6
354		6
355		6
356		6
357		6
358		5
359		2
360		6
361		6
362		3
363		6
364		6
365		5
366		6
367		3
368		6
369		6
370		3
371		6
372		3
373		3
374		6
375		3
376		5
377		7
378		5
379		5
380		3
381		6
382		7
383		7
384		7
385		7
386		7
387		8
388		6
389		8
390		5
391		2
392		7
393		1
394		6
395		5
396		8
397		5
398		1
399		8
400		8
401		8
402		8
403		2
404		2
405		6
406		6
407		6
408		5
409		2
410		3
411		2
412		6
413		2
414		5
415		6
416		6
417		6
418		6
419		2
420		5
421		5
422		2
423		8
424		8
425		5
426		7
427		8
428		1
429		5
430		5
431		5
432		5
433		2
434		8
435		2
436		2
437		2
438		2
439		5
440		2
441		2
442		4
443		4
444		4
445		5
446		1
447		1
448		5
449		1
450		1
451		5
452		1
453		5
454		5
455		5
456		5
457		5
458		8
459		8
460		5
461		5
462		8
463		1
464		8
465		1
466		5
467		1
468		2
469		5
470		5
471		6
472		5
473		5
474		5
475		5
476		1
477		5
478		5
479		5
480		5
481		5
482		5
483		5
484		7
485		7
486		5
487		5
488		5
489		7
490		1
491		1
492		5
493		6
494		1
495		5
496		5
497		5
498		1
499		5
500		5
501		5
502		3
503		5
504		5
505		5
506		5
507		5
508		5
509		8
510		5
511		5
512		7
513		5
514		5
515		5
516		5
517		5
518		5
519		5
520		5
521		5
522		5
523		5
524		5
525		5
526		5
527		5
